pubmed_id,title,journal,year,authors,affiliations,has_pharma_author
40736162,Baseline and Early Treatment MRI Model for Predicting Complete Pathologic Response to Neoadjuvant Chemoimmunotherapy in Patients With Triple-Negative Breast Cancer.,AJR. American journal of roentgenology,2025,Bin Liu; Lei Wu; Chunling Liu; Xiaoyu Long; Shan Hu; Linyu Zhang; Zaiyi Liu; Changhong Liang,"Department of Radiology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China.; Department of Radiology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China.; Guangdong Provincial Key Laboratory of Artificial Intelligence in Medical Image Analysis and Application, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.; Department of Radiology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China.; Department of Pathology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou 510080, China.; Department of Radiology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China.; Guangdong Cardiovascular Institute, Guangdong Provincial People's Hospital Guangdong Academy of Medical Sciences, Guangzhou, 510080, China.; Department of Radiology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China.; Guangdong Provincial Key Laboratory of Artificial Intelligence in Medical Image Analysis and Application, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.; Department of Radiology, Guangdong Provincial People's Hospital (Guangdong Academy of Medical Sciences), Southern Medical University, Guangzhou, 510080, China.; Guangdong Provincial Key Laboratory of Artificial Intelligence in Medical Image Analysis and Application, Guangdong Provincial People's Hospital, Guangdong Academy of Medical Sciences, Guangzhou, China.",False
40735962,Self-Delivery Nanotherapeutics for Tumor Low-Temperature Photothermal Immunotherapy through Cascade Heat Shock Protein and Inflammation Inhibition.,ACS applied materials & interfaces,2025,Xiaoliang Deng; Xianquan Feng; Xiaohui Tang; Zhihui Zheng; Da Zheng; Enqin Zheng; Lingjun Zeng; Shiying Xu; Boxin Chen; Qian Zhang; Zhihong Liu; Hongtao Song,"School of Pharmacy, Fujian University of Chinese Traditional Medicine, Fuzhou 350122, China.; 900th Hospital of PLA Joint Logistic Support Force, Fuzhou 350025, China.; School of Pharmacy, Fujian University of Chinese Traditional Medicine, Fuzhou 350122, China.; 900th Hospital of PLA Joint Logistic Support Force, Fuzhou 350025, China.; School of Pharmacy, Fujian University of Chinese Traditional Medicine, Fuzhou 350122, China.; School of Pharmacy, Fujian University of Chinese Traditional Medicine, Fuzhou 350122, China.; 900th Hospital of PLA Joint Logistic Support Force, Fuzhou 350025, China.; School of Pharmacy, Fujian University of Chinese Traditional Medicine, Fuzhou 350122, China.; 900th Hospital of PLA Joint Logistic Support Force, Fuzhou 350025, China.; School of Pharmacy, Fujian University of Chinese Traditional Medicine, Fuzhou 350122, China.; 900th Hospital of PLA Joint Logistic Support Force, Fuzhou 350025, China.; 900th Hospital of PLA Joint Logistic Support Force, Fuzhou 350025, China.; 900th Hospital of PLA Joint Logistic Support Force, Fuzhou 350025, China.; School of Pharmacy, Fujian Medical University, Fuzhou 350122, China.; 900th Hospital of PLA Joint Logistic Support Force, Fuzhou 350025, China.; School of Pharmacy, Fujian Medical University, Fuzhou 350122, China.; School of Pharmacy, Fujian Medical University, Fuzhou 350122, China.; 900th Hospital of PLA Joint Logistic Support Force, Fuzhou 350025, China.; School of Pharmacy, Fujian University of Chinese Traditional Medicine, Fuzhou 350122, China.; 900th Hospital of PLA Joint Logistic Support Force, Fuzhou 350025, China.; School of Pharmacy, Fujian Medical University, Fuzhou 350122, China.",False
40733767,Theragnostic applications of cyclodextrin-enhanced photothermal therapy in cancer management.,Carbohydrate polymers,2025,Jaya Lakkakula; Geetanjali Mallick; Chinmay Das; Imran Uddin,"Amity Institute of Biotechnology, Amity University Maharashtra, Mumbai-Pune Expressway, Bhatan, Panel, Mumbai, Maharashtra 410206, India; Centre for Computational Biology and Translational Research, Amity University Maharashtra, Mumbai-Pune Expressway, Bhatan, Panel, Mumbai, Maharashtra 410206, India. Electronic address: jrlakkakula@mum.amity.edu.; Amity Institute of Biotechnology, Amity University Maharashtra, Mumbai-Pune Expressway, Bhatan, Panel, Mumbai, Maharashtra 410206, India.; Amity Institute of Biotechnology, Amity University Maharashtra, Mumbai-Pune Expressway, Bhatan, Panel, Mumbai, Maharashtra 410206, India.; Department of Conservative Dentistry and Endodontics, Saveetha Dental College and Hospital, Saveetha Institute of Medical and Technical Sciences, Saveetha University, Chennai 600077, Tamil Nadu, India. Electronic address: usmani.imran@gmail.com.",False
40733128,Synthesis and Evaluation of [18F]AlF-NOTA-iPD-L1 as a Potential Theranostic Pair for [177Lu]Lu-DOTA-iPD-L1.,Pharmaceutics,2025,Guillermina Ferro-Flores; Myrna Luna-Gutiérrez; Blanca Ocampo-García; Nallely Jiménez-Mancilla; Nancy Lara-Almazán; Rigoberto Oros-Pantoja; Clara Santos-Cuevas; Erika Azorín-Vega; Laura Meléndez-Alafort,"Department of Radioactive Materials, Instituto Nacional de Investigaciones Nucleares (ININ), Ocoyoacac 52750, Mexico.; Department of Radioactive Materials, Instituto Nacional de Investigaciones Nucleares (ININ), Ocoyoacac 52750, Mexico.; Department of Radioactive Materials, Instituto Nacional de Investigaciones Nucleares (ININ), Ocoyoacac 52750, Mexico.; Investigadora por México SECIHTI, Instituto Nacional de Investigaciones Nucleares, Ocoyoacac 52750, Mexico.; Department of Nuclear Forensics and Analytical Chemistry, Instituto Nacional de Investigaciones Nucleares, Ocoyoacac 52750, Mexico.; Faculty of Medicine, Universidad Autónoma del Estado de México, Toluca 50180, Mexico.; Department of Radioactive Materials, Instituto Nacional de Investigaciones Nucleares (ININ), Ocoyoacac 52750, Mexico.; Department of Radioactive Materials, Instituto Nacional de Investigaciones Nucleares (ININ), Ocoyoacac 52750, Mexico.; Immunology and Molecular Oncology Diagnostics Unit, Veneto Institute of Oncology IOV-IRCCS, 35128 Padua, Italy.",False
40733107,Overview of Preclinical and Clinical Trials of Nanoparticles for the Treatment of Brain Metastases.,Pharmaceutics,2025,Muhammad Izhar; Mohamed Al Gharyani; Ahed H Kattaa; Juan J Cardona; Ruchit P Jain; Elaheh Shaghaghian; Yusuke S Hori; Fred C Lam; Deyaaldeen Abu Reesh; Sara C Emrich; Louisa Ustrzynski; Armine Tayag; Maciej S Lesniak; Steven D Chang; David J Park,"Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurological Surgery, Lou and Jean Malnati Brain Tumor Institute, Robert H. Lurie Comprehensive Cancer Center, Feinberg School of Medicine, Northwestern University, Chicago, IL 60611, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.; Department of Neurosurgery, Stanford University School of Medicine, Stanford, CA 94305, USA.",False
40730899,Mammary intraepithelial lymphocytes and intestinal inputs shape T cell dynamics in lactogenesis.,Nature immunology,2025,Abigail Jaquish; Eleni Phung; Xutong Gong; Pilar Baldominos; Silvia Galván-Peña; Ian Magill; Isabelle Bursulaya; Eleonora Marina; Kerri Bertrand; Christina Chambers; Andrés R Muñoz-Rojas; Judith Agudo; Diane Mathis; Christophe Benoist; Deepshika Ramanan,"NOMIS Center for Immunobiology and Microbial Pathogenesis, Salk Institute for Biological Studies, La Jolla, CA, USA.; Biological Sciences Graduate Program, University of California, San Diego, La Jolla, CA, USA.; NOMIS Center for Immunobiology and Microbial Pathogenesis, Salk Institute for Biological Studies, La Jolla, CA, USA.; Department of Immunology, Harvard Medical School, Boston, MA, USA.; Department of Cancer Immunology and Virology, Dana-Farber Cancer Institute, Boston, MA, USA.; Department of Immunology, Harvard Medical School, Boston, MA, USA.; Department of Immunology, Harvard Medical School, Boston, MA, USA.; NOMIS Center for Immunobiology and Microbial Pathogenesis, Salk Institute for Biological Studies, La Jolla, CA, USA.; Department of Cancer Immunology and Virology, Dana-Farber Cancer Institute, Boston, MA, USA.; Department of Pediatrics, University of California, San Diego, La Jolla, CA, USA.; Department of Pediatrics, University of California, San Diego, La Jolla, CA, USA.; Department of Biomedical Engineering, Rensselaer Polytechnic Institute, Troy, NY, USA.; Department of Immunology, Harvard Medical School, Boston, MA, USA.; Department of Pediatrics, University of California, San Diego, La Jolla, CA, USA.; Parker Institute for Cancer Immunotherapy at Dana-Farber Cancer Institute, Boston, MA, USA.; New York Stem Cell Foundation, New York, NY, USA.; Department of Immunology, Harvard Medical School, Boston, MA, USA.; Department of Immunology, Harvard Medical School, Boston, MA, USA.; NOMIS Center for Immunobiology and Microbial Pathogenesis, Salk Institute for Biological Studies, La Jolla, CA, USA. dramanan@salk.edu.; Department of Immunology, Harvard Medical School, Boston, MA, USA. dramanan@salk.edu.",False
40729737,Developing a Personalized Cancer Nanovaccine Using Coxsackievirus-Reprogrammed Cancer Cell Membranes for Enhanced Anti-Tumor Immunity.,"Advanced science (Weinheim, Baden-Wurttemberg, Germany)",2025,Amirhossein Bahreyni; Yasir Mohamud; Amrit Singh; Razieh Sadat Banijamali; Jeffrey Tang; Jingchun Zhang; Honglin Luo,"Centre for Heart Lung Innovation, St Paul's Hospital, Vancouver, BC, V6Z 1Y6, Canada.; Department of Pathology and Laboratory of Medicine, University of British Columbia, Vancouver, BC, V6Z 1Y6, Canada.; Centre for Heart Lung Innovation, St Paul's Hospital, Vancouver, BC, V6Z 1Y6, Canada.; Department of Pathology and Laboratory of Medicine, University of British Columbia, Vancouver, BC, V6Z 1Y6, Canada.; Centre for Heart Lung Innovation, St Paul's Hospital, Vancouver, BC, V6Z 1Y6, Canada.; Department of Anesthesiology, Pharmacology and Therapeutics, University of British Columbia, Vancouver, BC, V6Z 1Y6, Canada.; Centre for Heart Lung Innovation, St Paul's Hospital, Vancouver, BC, V6Z 1Y6, Canada.; Department of Pathology and Laboratory of Medicine, University of British Columbia, Vancouver, BC, V6Z 1Y6, Canada.; Centre for Heart Lung Innovation, St Paul's Hospital, Vancouver, BC, V6Z 1Y6, Canada.; Department of Anesthesiology, Pharmacology and Therapeutics, University of British Columbia, Vancouver, BC, V6Z 1Y6, Canada.; Centre for Heart Lung Innovation, St Paul's Hospital, Vancouver, BC, V6Z 1Y6, Canada.; Department of Pathology and Laboratory of Medicine, University of British Columbia, Vancouver, BC, V6Z 1Y6, Canada.; Centre for Heart Lung Innovation, St Paul's Hospital, Vancouver, BC, V6Z 1Y6, Canada.; Department of Pathology and Laboratory of Medicine, University of British Columbia, Vancouver, BC, V6Z 1Y6, Canada.",False
40729049,Advances in Molecular Diagnostics and Targeted Therapeutic Approaches in HER-2 Positive Breast Cancer.,Asian Pacific journal of cancer prevention : APJCP,2025,Basma Albanyahyati; Hicham El Hadi; Youssef Bakri; Mehdi Karkouri; Abdeladim Moumen,"Diagnostic kit and medical devices center, Moroccan Foundation for Advanced Science Innovation and Research (MASCIR), University Mohammed VI Polytechnic, Lot 660, Hay Moulay Rachid Ben Guerir, 43150, Morocco.; Laboratory of Human Pathologies Biology, Department of Biology, Faculty of Sciences, University Mohammed V, Rabat, Morocco.; Genomic Center of Human Pathologies, Faculty of Medicine and Pharmacy, University Mohammed V, Rabat, Morocco.; Diagnostic kit and medical devices center, Moroccan Foundation for Advanced Science Innovation and Research (MASCIR), University Mohammed VI Polytechnic, Lot 660, Hay Moulay Rachid Ben Guerir, 43150, Morocco.; Laboratory of Human Pathologies Biology, Department of Biology, Faculty of Sciences, University Mohammed V, Rabat, Morocco.; Genomic Center of Human Pathologies, Faculty of Medicine and Pharmacy, University Mohammed V, Rabat, Morocco.; Faculty of Medicine and Pharmacy, Hassan II University of Casablanca, Morocco.; Pathology Department, Centre Hospitalier et Universitaire Ibn Rochd, Casablanca, Morocco.; Diagnostic kit and medical devices center, Moroccan Foundation for Advanced Science Innovation and Research (MASCIR), University Mohammed VI Polytechnic, Lot 660, Hay Moulay Rachid Ben Guerir, 43150, Morocco.",False
40729006,Serum Levels of IL-21 and IL-22 in Breast Cancer Patients-A Preliminary Study.,Current issues in molecular biology,2025,Jacek Kabut; Aleksandra Mielczarek-Palacz; Joanna Magdalena Gola; Elżbieta Chełmecka; Anita Gorzelak-Magiera; Patrycja Królewska-Daszczyńska; Sebastian Stępień; Jakub Szymon Wnuk; Iwona Gisterek-Grocholska,"Department of Oncology and Radiotherapy, Medical University of Silesia, 40-055 Katowice, Poland.; Department of Immunology and Serology, Faculty of Pharmaceutical Sciences in Sosnowiec, Medical University of Silesia, 40-055 Katowice, Poland.; Department of Molecular Biology, Faculty of Pharmaceutical Sciences in Sosnowiec, Medical University of Silesia, 40-055 Katowice, Poland.; Department of Medical Statistics, Faculty of Pharmaceutical Sciences in Sosnowiec, Medical University of Silesia, 40-055 Katowice, Poland.; Department of Oncology and Radiotherapy, Medical University of Silesia, 40-055 Katowice, Poland.; Department of Immunology and Serology, Faculty of Pharmaceutical Sciences in Sosnowiec, Medical University of Silesia, 40-055 Katowice, Poland.; Department of Immunology and Serology, Faculty of Pharmaceutical Sciences in Sosnowiec, Medical University of Silesia, 40-055 Katowice, Poland.; Department of Oncology and Radiotherapy, Medical University of Silesia, 40-055 Katowice, Poland.; Department of Oncology and Radiotherapy, Medical University of Silesia, 40-055 Katowice, Poland.",False
40728183,Effect and mechanism of local radiotherapy combined with immune checkpoint inhibitor in the treatment of metastatic triple negative breast cancer.,African journal of reproductive health,2025,Qiong Lu; Fei Wang; Lei Yu; Ping Lv,"Shanghai Concord Medical Cancer Center,Shanghai, China.; Shanghai Concord Medical Cancer Center,Shanghai, China.; Shanghai Concord Medical Cancer Center,Shanghai, China.; Shanghai Concord Medical Cancer Center,Shanghai, China.",False
